Region,MainIsland,TotalBudget,MedianSavings,AvgDelay,HighDelayPct,EfficiencyScore
"Region II","Luzon","22,492,433,992.21","10,000.00","256.72","100.00","100.00"
"Region VI","Visayas","19,178,049,284.75","795.81","316.16","100.00","100.00"
"Cordillera Administrative Region","Luzon","14,557,082,197.87","2,443.46","241.37","100.00","100.00"
"Region XII","Mindanao","11,853,038,840.21","12,457.90","274.45","100.00","100.00"
"Region IV-A","Luzon","34,613,010,963.02","635.76","256.62","99.86","100.00"
"National Capital Region","Luzon","37,374,807,552.77","323,215.64","275.14","99.87","100.00"
"Region III","Luzon","62,517,911,971.79","2,244.01","215.60","100.00","100.00"
"Region X","Mindanao","21,108,791,834.06","109,843.27","363.88","100.00","100.00"
"Region IV-B","Luzon","22,432,789,116.38","2,886.84","268.40","99.70","100.00"
"Region VIII","Visayas","18,757,160,567.23","60,312.50","265.89","100.00","100.00"
"Region IX","Mindanao","4,292,690,070.72","49,019.73","352.98","100.00","100.00"
"Region I","Luzon","24,127,224,108.76","1,819.80","229.37","98.62","100.00"
"Region XIII","Mindanao","18,686,741,373.37","202.65","329.91","100.00","61.43"
"Region V","Luzon","42,471,531,344.45","87.15","238.49","100.00","36.54"
"Region VII","Visayas","27,449,467,562.05","28.30","250.73","99.79","11.29"
"Region XI","Mindanao","17,878,556,404.67","0.00","307.21","100.00","0.00"
